Name:		Lpr-c-03.txt
Optimal value:	-1
#Vehicles:	10
Capacity:	10000
Depot Node:	1
#Nodes:		163
#Edges:		241
#Arcs:		75
#Required N:	0
#Required E:	241
#Required A:	61

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	36	302	338
E2	1	14	15	189	204
E3	2	3	22	439	461
E4	2	15	25	679	704
E5	3	4	19	509	528
E6	4	5	17	612	629
E7	4	16	19	514	533
E8	5	6	20	296	316
E9	5	17	15	245	260
E10	6	7	36	237	273
E11	7	8	31	545	576
E12	7	19	19	237	256
E13	8	20	18	394	412
E14	9	10	36	426	462
E15	9	29	55	589	644
E16	10	11	33	362	395
E17	11	12	19	696	715
E18	11	32	35	288	323
E19	12	33	38	759	797
E20	13	34	38	194	232
E21	14	21	25	447	472
E22	15	23	17	258	275
E23	16	17	22	130	152
E24	17	26	17	342	359
E25	18	19	42	738	780
E26	18	27	21	399	420
E27	19	20	37	485	522
E28	19	28	15	242	257
E29	21	22	18	83	101
E30	21	35	18	193	211
E31	22	23	19	345	364
E32	22	36	21	355	376
E33	23	24	22	326	348
E34	23	37	17	269	286
E35	25	26	24	646	670
E36	25	38	26	363	389
E37	26	27	22	651	673
E38	27	28	36	340	376
E39	27	39	16	555	571
E40	28	29	34	731	765
E41	29	30	42	357	399
E42	29	48	43	521	564
E43	30	49	43	304	347
E44	31	32	39	272	311
E45	31	50	40	349	389
E46	32	33	22	624	646
E47	32	51	36	525	561
E48	33	34	16	561	577
E49	33	52	43	336	379
E50	34	53	41	508	549
E51	35	36	17	323	340
E52	35	40	20	225	245
E53	36	37	21	429	450
E54	36	41	22	499	521
E55	37	38	35	498	533
E56	37	42	23	404	427
E57	38	39	35	518	553
E58	38	44	12	318	330
E59	39	46	19	393	412
E60	40	54	18	365	383
E61	41	42	17	360	377
E62	41	55	20	280	300
E63	42	43	18	557	575
E64	43	44	23	411	434
E65	43	57	20	299	319
E66	44	45	19	406	425
E67	44	58	20	330	350
E68	45	46	18	218	236
E69	45	59	17	580	597
E70	46	47	38	183	221
E71	46	59	30	281	311
E72	47	48	38	648	686
E73	47	70	34	59	93
E74	48	49	37	203	240
E75	48	70	48	163	211
E76	48	72	39	546	585
E77	49	50	40	184	224
E78	49	73	38	338	376
E79	50	61	22	358	380
E80	51	52	21	73	94
E81	51	62	22	16	38
E82	55	56	25	246	271
E83	55	64	19	300	319
E84	56	57	17	636	653
E85	56	65	14	503	517
E86	57	58	16	236	252
E87	57	66	24	528	552
E88	58	59	18	272	290
E89	58	67	20	293	313
E90	59	60	24	620	644
E91	59	67	23	195	218
E92	60	69	21	126	147
E93	61	62	36	491	527
E94	61	75	21	402	423
E95	62	76	22	188	210
E96	63	64	21	307	328
E97	63	90	39	386	425
E98	64	65	20	69	89
E99	65	66	20	85	105
E100	65	91	43	508	551
E101	66	67	20	435	455
E102	67	68	16	412	428
E103	67	79	20	285	305
E104	69	80	16	438	454
E105	70	71	15	210	225
E106	70	81	17	623	640
E107	71	72	19	430	449
