Name:		Lpr-a-02.txt
Optimal value:	-1
#Vehicles:	3
Capacity:	10000
Depot Node:	1
#Nodes:		53
#Edges:		5
#Arcs:		164
#Required N:	0
#Required E:	5
#Required A:	99

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	10	43	238	281
E2	4	5	39	677	716
E3	22	28	15	511	526
E4	33	36	22	150	172
E5	39	40	36	172	208

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A66	1	2	36	348	384
A67	2	1	36	26	62
A68	3	2	25	308	333
A69	3	4	15	32	47
A70	3	12	33	57	90
A71	4	3	15	397	412
A72	4	13	35	139	174
A73	6	5	38	379	417
A74	7	6	38	98	136
A75	8	6	18	11	29
A76	9	18	22	394	416
A77	10	24	35	59	94
A78	11	2	41	286	327
A79	11	10	39	398	437
A80	11	19	18	139	157
A81	12	11	21	58	79
A82	12	13	17	273	290
A83	13	4	35	392	427
A84	13	14	23	144	167
A85	13	20	23	31	54
A86	14	13	23	399	422
A87	14	15	15	154	169
A88	14	22	20	233	253
A89	15	5	42	166	208
A90	15	14	15	215	230
A91	15	16	22	119	141
A92	15	23	18	126	144
A93	16	15	22	345	367
A94	16	17	17	134	151
A95	16	30	38	300	338
A96	17	8	21	145	166
A97	17	16	17	65	82
A98	17	18	40	282	322
A99	17	31	30	222	252
A100	18	9	22	165	187
A101	18	17	40	360	400
A102	18	32	34	275	309
A103	19	11	18	392	410
A104	19	20	17	98	115
A105	20	12	19	317	336
A106	20	19	17	76	93
A107	20	25	31	135	166
A108	21	20	15	312	327
A109	21	22	19	265	284
A110	23	15	18	379	397
A111	23	22	22	298	320
A112	24	10	35	213	248
A113	24	11	51	222	273
A114	24	25	35	170	205
A115	24	35	37	351	388
A116	25	20	31	381	412
A117	25	33	15	376	391
A118	26	27	19	291	310
A119	27	34	15	63	78
A120	29	28	19	176	195
A121	29	30	21	293	314
A122	29	39	33	331	364
A123	30	16	38	390	428
A124	31	17	30	398	428
A125	32	31	40	397	437
A126	32	42	39	84	123
A127	33	25	15	230	245
A128	34	27	15	329	344
A129	34	37	20	237	257
A130	35	36	39	173	212
A131	35	46	35	378	413
A132	36	37	42	121	163
A133	36	47	35	263	298
A134	37	34	20	181	201
A135	37	38	20	174	194
A136	38	37	20	108	128
A137	38	39	18	97	115
A138	38	49	43	328	371
A139	39	29	33	361	394
A140	39	38	18	39	57
A141	41	42	22	171	193
A142	41	44	19	142	161
A143	42	41	22	26	48
A144	43	40	24	79	103
A145	43	51	13	314	327
A146	44	43	17	17	34
A147	45	44	19	318	337
A148	45	53	17	226	243
A149	46	35	35	177	212
A150	47	46	37	262	299
A151	47	48	36	83	119
A152	48	37	43	48	91
A153	48	47	36	362	398
A154	48	49	21	71	92
A155	49	38	43	75	118
A156	50	39	44	365	409
A157	50	51	38	255	293
A158	51	43	13	286	299
A159	51	50	38	35	73
A160	51	52	20	268	288
A161	52	44	17	158	175
A162	52	53	22	193	215
A163	53	45	17	367	384
A164	53	52	22	299	321

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	25
NrA2	2	11	41
NrA3	5	6	38
NrA4	5	15	42
NrA5	6	7	38
NrA6	6	8	18
NrA7	7	9	15
NrA8	8	9	43
NrA9	8	17	21
NrA10	9	7	15
NrA11	9	8	43
NrA12	11	12	21
NrA13	11	24	51
NrA14	12	3	33
NrA15	12	20	19
NrA16	13	12	17
NrA17	13	21	21
NrA18	19	25	25
NrA19	20	21	15
NrA20	20	26	19
NrA21	21	27	19
NrA22	22	13	28
NrA23	22	14	20
NrA24	22	21	19
NrA25	22	23	22
NrA26	22	29	28
NrA27	23	29	22
NrA28	25	19	25
NrA29	25	24	35
NrA30	25	26	17
NrA31	26	20	19
NrA32	26	25	17
NrA33	27	28	22
NrA34	28	27	22
NrA35	28	29	19
NrA36	29	22	28
NrA37	29	23	22
NrA38	30	29	21
NrA39	30	31	20
NrA40	31	30	20
NrA41	31	32	40
NrA42	31	40	38
NrA43	32	18	34
NrA44	34	33	36
NrA45	35	24	37
NrA46	36	35	39
NrA47	37	48	43
NrA48	39	50	44
NrA49	40	31	38
NrA50	40	41	18
NrA51	40	43	24
NrA52	41	40	18
NrA53	42	32	39
NrA54	42	45	26
NrA55	43	44	17
NrA56	44	41	19
NrA57	44	45	19
NrA58	44	52	17
NrA59	45	42	26
NrA60	46	47	37
NrA61	47	36	35
NrA62	49	48	21
NrA63	49	50	20
NrA64	50	49	20
NrA65	52	51	20
