Name:		Lpr-b-05.txt
Optimal value:	-1
#Vehicles:	18
Capacity:	10000
Depot Node:	1
#Nodes:		401
#Edges:		37
#Arcs:		839
#Required N:	0
#Required E:	37
#Required A:	764

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	21	27	462	489
E2	3	4	21	336	357
E3	5	6	17	421	438
E4	5	24	22	490	512
E5	8	9	17	167	184
E6	9	10	42	14	56
E7	9	27	29	353	382
E8	20	39	24	90	114
E9	54	55	20	529	549
E10	62	103	37	545	582
E11	73	74	20	480	500
E12	80	81	22	240	262
E13	90	111	25	428	453
E14	117	118	18	407	425
E15	120	121	15	305	320
E16	129	130	19	490	509
E17	167	211	38	306	344
E18	189	210	20	593	613
E19	229	252	20	309	329
E20	235	257	16	138	154
E21	250	251	26	314	340
E22	250	274	12	350	362
E23	254	255	19	71	90
E24	271	272	26	473	499
E25	275	276	19	406	425
E26	282	283	21	264	285
E27	285	286	21	665	686
E28	291	314	16	448	464
E29	317	335	19	283	302
E30	331	356	25	106	131
E31	336	361	24	221	245
E32	348	349	24	320	344
E33	361	379	13	237	250
E34	379	380	19	237	256
E35	384	385	13	218	231
E36	395	396	16	200	216
E37	400	401	17	176	193

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A76	1	2	44	174	218
A77	2	1	44	280	324
A78	2	3	12	17	29
A79	3	2	12	114	126
A80	4	5	22	88	110
A81	5	4	22	54	76
A82	6	7	37	364	401
A83	7	6	37	146	183
A84	7	8	19	76	95
A85	8	7	19	115	134
A86	9	28	17	231	248
A87	10	11	14	372	386
A88	11	10	14	345	359
A89	11	12	19	16	35
A90	12	11	19	106	125
A91	12	13	21	165	186
A92	12	31	25	25	50
A93	12	32	16	274	290
A94	13	12	21	90	111
A95	13	14	22	271	293
A96	14	13	22	194	216
A97	14	15	19	160	179
A98	15	16	18	54	72
A99	16	15	18	216	234
A100	16	17	20	25	45
A101	17	16	20	351	371
A102	17	18	20	64	84
A103	17	36	22	301	323
A104	18	17	20	276	296
A105	18	19	37	282	319
A106	18	37	17	205	222
A107	19	18	37	350	387
A108	19	20	33	374	407
A109	20	19	33	137	170
A110	21	22	38	122	160
A111	22	2	23	28	51
A112	23	4	17	106	123
A113	23	24	26	182	208
A114	24	23	26	305	331
A115	24	44	17	295	312
A116	25	6	18	121	139
A117	25	24	16	132	148
A118	26	7	19	67	86
A119	26	25	33	379	412
A120	27	8	19	62	81
A121	27	26	18	320	338
A122	27	47	24	349	373
A123	28	49	18	387	405
A124	29	10	31	284	315
A125	29	28	16	94	110
A126	30	10	19	293	312
A127	30	29	22	378	400
