Name:		Lpr-b-04.txt
Optimal value:	-1
#Vehicles:	11
Capacity:	10000
Depot Node:	1
#Nodes:		248
#Edges:		8
#Arcs:		574
#Required N:	0
#Required E:	8
#Required A:	493

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	7	8	22	84	106
E2	12	31	26	552	578
E3	19	36	26	449	475
E4	39	40	19	435	454
E5	131	149	17	391	408
E6	222	241	24	57	81
E7	230	231	20	219	239
E8	242	243	20	356	376

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A82	1	19	19	248	267
A83	2	1	35	201	236
A84	2	3	20	59	79
A85	2	20	21	96	117
A86	3	2	20	181	201
A87	3	4	17	398	415
A88	4	3	17	170	187
A89	4	5	21	163	184
A90	4	21	21	386	407
A91	5	4	21	141	162
A92	5	6	18	354	372
A93	6	5	18	184	202
A94	6	7	35	215	250
A95	7	24	26	342	368
A96	8	9	21	62	83
A97	9	10	38	157	195
A98	9	25	27	397	424
A99	10	11	18	190	208
A100	10	27	27	297	324
A101	10	28	17	63	80
A102	11	10	18	181	199
A103	11	12	22	127	149
A104	11	29	22	227	249
A105	12	11	22	304	326
A106	12	13	18	294	312
A107	12	30	21	100	121
A108	13	12	18	74	92
A109	14	13	19	167	186
A110	14	15	19	212	231
A111	15	14	19	219	238
A112	16	17	18	139	157
A113	17	16	18	113	131
A114	17	18	19	195	214
A115	17	34	21	262	283
A116	18	17	19	158	177
A117	18	35	20	127	147
A118	19	1	19	162	181
A119	19	20	42	165	207
A120	20	2	21	14	35
A121	20	37	20	354	374
A122	21	4	21	135	156
A123	21	39	14	123	137
A124	22	21	21	322	343
A125	23	22	13	296	309
A126	23	24	43	45	88
A127	24	25	17	174	191
A128	25	8	14	396	410
A129	25	26	17	40	57
A130	25	43	22	368	390
A131	26	27	17	285	302
A132	26	44	22	203	225
A133	27	28	23	299	322
A134	27	44	26	244	270
A135	28	29	16	145	161
A136	28	45	20	147	167
A137	29	30	17	371	388
A138	30	31	21	99	120
A139	30	47	19	260	279
A140	31	13	17	83	100
A141	31	48	19	323	342
A142	32	14	23	75	98
A143	33	51	21	89	110
A144	34	33	19	145	164
A145	35	18	20	315	335
A146	35	34	20	387	407
A147	35	53	19	108	127
A148	36	37	41	161	202
A149	37	36	41	293	334
A150	37	38	19	374	393
A151	37	55	15	247	262
A152	38	3	34	353	387
A153	38	37	19	238	257
A154	40	41	26	48	74
A155	41	23	19	262	281
A156	42	24	14	385	399
A157	42	25	27	187	214
A158	42	41	34	63	97
A159	42	43	20	178	198
A160	43	42	20	103	123
A161	43	44	23	288	311
A162	44	27	26	58	84
A163	44	43	23	85	108
A164	44	45	33	121	154
A165	44	68	34	66	100
A166	45	29	31	304	335
A167	45	44	33	180	213
A168	45	46	18	226	244
A169	45	69	36	184	220
A170	46	45	18	240	258
A171	48	47	20	351	371
A172	49	31	25	304	329
A173	49	48	18	180	198
A174	49	50	24	53	77
A175	50	15	36	89	125
A176	50	51	15	131	146
A177	50	58	20	323	343
A178	51	52	25	59	84
A179	52	34	15	287	302
A180	53	35	19	201	220
A181	53	61	18	83	101
A182	54	36	13	264	277
A183	54	55	42	129	171
A184	54	62	19	266	285
A185	55	56	39	156	195
A186	55	64	24	59	83
A187	56	39	19	264	283
A188	56	65	24	178	202
A189	57	49	19	356	375
A190	59	58	21	262	283
A191	59	74	16	194	210
A192	60	52	23	315	338
A193	60	59	18	39	57
A194	61	53	18	59	77
A195	61	60	19	218	237
A196	62	54	19	133	152
A197	62	63	22	354	376
A198	62	77	19	191	210
A199	63	62	22	62	84
A200	63	64	16	258	274
A201	63	78	17	72	89
A202	64	55	24	302	326
A203	64	79	14	395	409
A204	65	64	38	35	73
A205	66	65	36	148	184
A206	66	67	39	160	199
A207	66	91	50	176	226
A208	67	42	43	140	183
A209	67	68	40	70	110
A210	67	93	35	116	151
A211	68	69	34	398	432
A212	69	70	39	167	206
A213	69	81	17	238	255
A214	70	71	17	133	150
A215	70	82	21	382	403
A216	71	48	35	203	238
A217	72	57	23	336	359
A218	73	58	18	369	387
A219	73	74	16	190	206
A220	74	84	24	320	344
A221	76	61	25	72	97
A222	76	86	15	263	278
A223	77	62	19	29	48
A224	77	87	19	289	308
A225	78	63	17	333	350
A226	78	64	19	254	273
A227	78	77	27	317	344
A228	78	88	22	165	187
A229	79	78	13	25	38
A230	79	89	20	135	155
A231	80	68	24	284	308
A232	80	94	16	349	365
A233	81	80	43	325	368
A234	82	70	21	10	31
A235	82	97	21	86	107
A236	83	82	38	199	237
A237	83	99	17	132	149
A238	84	101	16	353	369
A239	85	75	21	192	213
A240	85	84	19	65	84
A241	86	76	15	323	338
A242	86	85	24	236	260
A243	86	103	25	56	81
A244	87	77	19	91	110
A245	87	78	31	84	115
A246	87	88	19	230	249
A247	87	119	40	37	77
A248	87	104	28	66	94
A249	89	90	21	236	257
A250	89	104	26	185	211
A251	89	105	22	399	421
A252	90	91	19	260	279
A253	91	65	36	119	155
