Name:		Lpr-a-04.txt
Optimal value:	-1
#Vehicles:	11
Capacity:	10000
Depot Node:	1
#Nodes:		195
#Edges:		34
#Arcs:		617
#Required N:	0
#Required E:	34
#Required A:	469

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	10	11	16	456	472
E2	10	26	15	122	137
E3	13	14	23	161	184
E4	22	23	18	112	130
E5	27	28	17	518	535
E6	32	49	22	201	223
E7	33	34	16	118	134
E8	45	46	19	428	447
E9	49	50	20	639	659
E10	50	57	21	643	664
E11	54	68	21	362	383
E12	55	71	13	416	429
E13	61	77	22	381	403
E14	63	90	55	355	410
E15	72	84	18	538	556
E16	73	74	14	355	369
E17	93	94	18	604	622
E18	107	108	20	251	271
E19	108	109	14	188	202
E20	115	132	18	353	371
E21	125	142	17	221	238
E22	129	145	13	365	378
E23	131	132	26	45	71
E24	136	153	21	116	137
E25	146	165	17	99	116
E26	147	148	17	188	205
E27	148	166	22	312	334
E28	151	152	16	331	347
E29	154	171	22	171	193
E30	161	162	20	238	258
E31	164	165	19	340	359
E32	168	186	30	283	313
E33	169	186	17	365	382
E34	186	187	17	172	189

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A149	1	17	15	194	209
A150	2	1	39	53	92
A151	2	3	23	349	372
A152	2	18	19	19	38
A153	3	2	23	380	403
A154	3	4	20	374	394
A155	3	34	42	77	119
A156	4	3	20	207	227
A157	4	5	17	27	44
A158	5	4	17	103	120
A159	5	6	21	95	116
A160	5	20	14	259	273
A161	6	5	21	157	178
A162	6	7	37	378	415
A163	6	21	23	106	129
A164	7	6	37	141	178
A165	7	8	13	284	297
A166	7	22	16	286	302
A167	8	7	13	243	256
A168	8	9	24	257	281
A169	9	8	24	119	143
A170	9	23	31	381	412
A171	9	24	17	216	233
A172	10	9	39	364	403
A173	10	25	28	181	209
A174	11	12	18	242	260
A175	11	27	18	226	244
A176	12	11	18	96	114
A177	12	13	21	67	88
A178	12	28	19	287	306
A179	12	29	26	35	61
A180	13	12	21	332	353
A181	13	29	16	138	154
A182	14	15	19	130	149
A183	14	30	20	86	106
A184	15	14	19	101	120
A185	15	16	17	148	165
A186	15	46	33	319	352
A187	16	15	17	93	110
A188	16	47	43	337	380
A189	17	1	15	305	320
A190	17	18	33	279	312
A191	17	31	19	371	390
A192	18	2	19	267	286
A193	19	4	21	394	415
A194	19	20	17	263	280
A195	20	19	17	365	382
A196	20	21	20	322	342
A197	20	36	22	33	55
A198	21	6	23	208	231
A199	21	20	20	338	358
A200	21	22	37	177	214
A201	21	37	14	206	220
A202	22	7	16	142	158
A203	22	21	37	140	177
A204	22	38	25	400	425
A205	23	8	19	129	148
A206	23	38	27	212	239
A207	23	39	16	242	258
A208	24	9	17	380	397
A209	24	25	13	344	357
A210	24	40	26	261	287
A211	25	10	28	34	62
A212	25	40	31	325	356
A213	26	25	23	64	87
A214	26	27	21	149	170
A215	26	41	24	326	350
A216	27	11	18	143	161
A217	27	42	22	26	48
A218	28	12	19	389	408
A219	28	29	14	195	209
A220	29	12	26	99	125
A221	29	13	16	122	138
A222	29	28	14	174	188
A223	29	44	19	206	225
A224	30	14	20	89	109
A225	30	29	25	41	66
A226	30	45	22	381	403
A227	31	17	19	265	284
A228	31	32	21	218	239
A229	31	48	25	206	231
A230	32	31	21	184	205
A231	33	18	18	27	45
A232	33	32	22	128	150
A233	35	19	20	384	404
A234	35	34	20	118	138
A235	35	36	17	17	34
A236	35	51	12	23	35
A237	36	35	17	351	368
A238	36	37	21	19	40
A239	37	21	14	218	232
A240	37	36	21	266	287
A241	38	22	25	267	292
A242	38	23	27	96	123
A243	38	37	38	398	436
A244	38	39	18	217	235
A245	39	38	18	259	277
A246	40	24	26	85	111
A247	40	25	31	386	417
A248	40	63	33	123	156
A249	41	27	28	36	64
A250	41	40	41	301	342
A251	41	42	17	43	60
A252	41	64	40	184	224
A253	42	27	22	289	311
A254	42	41	17	62	79
A255	43	42	18	397	415
A256	43	44	22	37	59
A257	44	43	22	108	130
A258	44	53	24	190	214
A259	45	29	32	34	66
A260	45	30	22	189	211
A261	45	44	18	332	350
A262	46	15	33	186	219
A263	46	47	18	115	133
A264	46	69	40	69	109
A265	47	70	34	363	397
A266	48	31	25	74	99
A267	48	49	18	212	230
A268	48	55	19	160	179
A269	49	48	18	203	221
A270	49	56	22	345	367
A271	50	33	20	129	149
A272	50	51	40	328	368
A273	51	35	12	124	136
A274	51	50	40	165	205
A275	52	43	24	16	40
A276	52	53	18	14	32
A277	53	44	24	329	353
A278	53	52	18	98	116
A279	53	54	21	135	156
A280	53	67	15	123	138
A281	54	53	21	198	219
A282	55	48	19	304	323
A283	55	56	26	166	192
A284	56	55	26	242	268
A285	57	58	17	285	302
A286	57	73	21	203	224
A287	58	57	17	129	146
A288	58	59	16	299	315
A289	58	74	18	244	262
A290	59	51	21	340	361
A291	59	60	24	54	78
A292	60	59	24	92	116
A293	60	61	15	73	88
A294	61	37	39	221	260
A295	61	60	15	137	152
A296	61	62	37	284	321
A297	62	38	32	218	250
A298	62	61	37	215	252
A299	62	63	41	48	89
A300	62	90	40	146	186
A301	63	62	41	161	202
A302	63	64	39	108	147
A303	63	91	43	387	430
A304	64	41	40	131	171
A305	64	63	39	35	74
A306	64	65	20	320	340
A307	64	92	36	93	129
A308	65	42	34	353	387
A309	65	64	20	375	395
A310	65	66	20	314	334
A311	66	65	20	262	282
A312	66	67	19	48	67
A313	66	78	20	273	293
A314	67	66	19	385	404
A315	68	69	22	108	130
A316	69	68	22	103	125
A317	69	70	20	63	83
A318	69	81	15	288	303
A319	70	47	34	58	92
A320	70	69	20	306	326
A321	70	82	19	121	140
A322	72	56	19	304	323
A323	72	71	18	236	254
A324	72	73	26	226	252
A325	73	72	26	351	377
A326	74	58	18	64	82
A327	74	86	19	147	166
A328	75	74	19	323	342
A329	75	76	22	253	275
A330	75	87	15	171	186
A331	76	60	18	300	318
A332	76	75	22	270	292
A333	76	77	14	395	409
A334	76	88	14	95	109
A335	78	66	20	227	247
A336	79	67	20	255	275
A337	79	78	20	264	284
A338	79	80	20	384	404
A339	79	95	20	353	373
A340	80	68	14	135	149
A341	80	96	23	400	423
A342	81	69	15	271	286
A343	81	80	17	315	332
A344	81	82	24	129	153
A345	82	81	24	291	315
A346	82	98	17	40	57
A347	83	84	24	218	242
A348	83	99	20	199	219
A349	84	83	24	290	314
A350	84	85	15	191	206
A351	85	73	18	335	353
A352	85	84	15	393	408
A353	85	86	17	207	224
A354	85	100	16	302	318
A355	86	87	23	35	58
A356	87	75	15	160	175
A357	87	86	23	140	163
A358	87	88	19	176	195
A359	87	101	20	148	168
A360	88	76	14	342	356
A361	88	87	19	299	318
A362	88	89	15	196	211
A363	89	88	15	88	103
A364	89	102	20	167	187
A365	90	62	40	356	396
A366	90	89	36	377	413
A367	90	91	39	367	406
A368	90	118	37	330	367
A369	91	63	43	354	397
A370	91	90	39	313	352
A371	91	92	37	343	380
A372	91	103	14	369	383
A373	92	64	36	361	397
A374	92	91	37	72	109
A375	92	93	20	320	340
A376	93	65	38	263	301
A377	93	92	20	43	63
A378	93	105	23	67	90
A379	94	95	22	254	276
A380	94	106	21	165	186
A381	95	94	22	295	317
A382	95	96	17	135	152
A383	96	80	23	195	218
A384	96	97	19	161	180
A385	97	81	23	325	348
A386	97	96	19	86	105
A387	97	108	20	124	144
A388	98	82	17	230	247
A389	98	97	19	293	312
A390	98	109	16	100	116
A391	100	85	16	183	199
A392	100	99	42	232	274
A393	100	112	24	29	53
A394	101	87	20	56	76
A395	101	100	35	84	119
A396	101	102	40	236	276
A397	101	114	20	206	226
A398	102	89	20	79	99
A399	102	101	40	23	63
A400	102	116	23	290	313
A401	103	91	14	104	118
A402	103	104	37	186	223
A403	104	92	21	287	308
A404	104	103	37	334	371
A405	104	121	14	185	199
A406	105	93	23	348	371
A407	105	104	22	92	114
A408	105	106	16	119	135
A409	105	122	21	149	170
A410	105	123	28	291	319
A411	106	105	16	352	368
A412	106	123	21	351	372
A413	107	96	15	292	307
A414	108	97	20	248	268
A415	108	126	15	375	390
A416	109	98	16	137	153
A417	109	127	21	95	116
A418	110	99	16	189	205
A419	110	128	19	117	136
A420	111	110	13	31	44
A421	111	112	20	314	334
A422	111	129	26	200	226
A423	112	100	24	308	332
A424	112	111	20	163	183
A425	112	113	23	177	200
A426	113	112	23	26	49
A427	113	114	17	368	385
A428	113	147	42	89	131
A429	114	101	20	391	411
A430	114	113	17	94	111
A431	114	115	20	249	269
A432	114	131	18	97	115
A433	115	114	20	176	196
A434	115	116	19	88	107
A435	116	102	23	145	168
A436	116	115	19	114	133
A437	116	117	17	280	297
A438	116	133	15	166	181
A439	117	116	17	34	51
A440	117	118	23	88	111
A441	117	134	21	296	317
A442	118	90	37	301	338
A443	118	135	23	78	101
A444	119	118	14	146	160
A445	119	120	20	387	407
A446	119	136	19	76	95
