Name:		Lpr-c-04.txt
Optimal value:	-1
#Vehicles:	15
Capacity:	10000
Depot Node:	1
#Nodes:		277
#Edges:		362
#Arcs:		242
#Required N:	0
#Required E:	362
#Required A:	142

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	140	19	14	333	347
E2	2	3	12	178	190
E3	2	20	19	349	368
E4	3	4	26	84	110
E5	4	21	17	107	124
E6	5	6	17	265	282
E7	5	22	17	13	30
E8	6	7	36	690	726
E9	6	23	22	190	212
E10	7	24	23	83	106
E11	8	9	16	586	602
E12	8	25	21	318	339
E13	10	11	21	260	281
E14	10	27	27	759	786
E15	10	28	20	237	257
E16	11	12	22	606	628
E17	11	29	19	632	651
E18	12	13	21	381	402
E19	12	29	27	198	225
E20	12	30	17	203	220
E21	12	31	23	260	283
E22	13	14	20	289	309
E23	13	31	21	544	565
E24	14	15	20	288	308
E25	14	32	15	493	508
E26	15	52	42	661	703
E27	17	18	20	417	437
E28	17	34	15	575	590
E29	18	35	17	517	534
E30	19	20	39	332	371
E31	21	39	21	414	435
E32	22	23	20	39	59
E33	23	24	43	397	440
E34	23	41	15	516	531
E35	24	25	15	136	151
E36	24	43	17	323	340
E37	25	43	21	315	336
E38	25	44	18	461	479
E39	26	45	19	262	281
E40	27	45	28	434	462
E41	28	29	18	238	256
E42	29	30	25	229	254
E43	29	47	27	543	570
E44	29	48	17	89	106
E45	30	31	16	516	532
E46	31	50	17	377	394
E47	31	51	25	665	690
E48	32	51	17	363	380
E49	33	34	17	606	623
E50	33	53	21	722	743
E51	34	35	23	236	259
E52	34	54	21	240	261
E53	35	55	19	53	72
E54	36	37	34	304	338
E55	36	56	26	198	224
E56	37	38	17	196	213
E57	39	40	17	270	287
E58	40	41	19	546	565
E59	41	42	18	697	715
E60	42	43	23	57	80
E61	42	60	24	436	460
E62	43	61	17	486	503
E63	44	45	20	39	59
E64	44	62	18	484	502
E65	45	46	19	468	487
E66	45	63	20	410	430
E67	46	47	19	30	49
E68	47	48	22	784	806
E69	47	64	22	235	257
E70	48	65	21	185	206
E71	49	50	21	184	205
E72	49	66	18	586	604
E73	50	85	38	516	554
E74	51	52	18	422	440
E75	51	67	19	413	432
E76	52	53	22	343	365
E77	52	68	15	600	615
E78	53	54	17	607	624
E79	54	55	24	631	655
E80	54	70	22	80	102
E81	55	71	21	595	616
E82	56	72	18	113	131
E83	57	58	46	471	517
E84	59	60	21	351	372
E85	59	76	19	215	234
E86	61	62	16	282	298
E87	61	78	23	563	586
E88	62	63	19	432	451
E89	62	79	17	184	201
E90	63	80	19	346	365
E91	65	66	24	139	163
E92	65	83	22	467	489
E93	66	84	19	158	177
E94	67	68	20	348	368
E95	67	86	19	157	176
E96	68	69	21	43	64
E97	68	87	19	452	471
E98	69	70	22	599	621
E99	69	88	17	256	273
E100	70	89	19	222	241
E101	71	90	17	440	457
E102	72	73	20	90	110
E103	72	91	20	536	556
E104	73	92	21	197	218
E105	74	75	37	163	200
E106	74	92	32	289	321
E107	74	93	17	247	264
E108	75	76	35	426	461
E109	75	105	35	91	126
E110	76	77	26	411	437
E111	76	105	49	230	279
E112	76	106	41	416	457
E113	77	78	18	459	477
E114	78	79	15	574	589
E115	78	107	36	17	53
E116	79	80	26	114	140
E117	80	81	16	371	387
E118	80	94	20	301	321
E119	81	82	15	245	260
E120	82	83	17	155	172
E121	82	95	18	124	142
E122	83	84	22	126	148
E123	84	85	17	475	492
E124	84	96	19	507	526
E125	85	86	23	40	63
E126	86	87	18	295	313
E127	86	97	22	497	519
E128	87	88	18	80	98
E129	88	98	26	119	145
E130	89	90	22	553	575
E131	89	99	16	753	769
E132	90	100	21	178	199
E133	91	101	16	328	344
E134	92	93	19	235	254
E135	92	101	25	139	164
E136	92	102	17	299	316
E137	94	95	41	325	366
E138	94	108	18	334	352
E139	95	110	21	563	584
E140	96	97	32	469	501
E141	96	111	22	290	312
E142	97	98	45	376	421
E143	97	113	19	448	467
E144	98	115	18	217	235
E145	99	100	16	78	94
E146	99	116	18	614	632
E147	101	118	32	259	291
E148	103	104	24	508	532
E149	103	119	20	399	419
E150	104	105	21	427	448
E151	105	106	40	79	119
E152	105	121	26	141	167
E153	106	107	37	312	349
E154	107	108	36	264	300
E155	107	123	22	378	400
E156	108	109	15	554	569
E157	109	110	21	633	654
E158	109	125	17	259	276
E159	110	111	37	154	191
E160	110	126	19	452	471
E161	111	127	15	35	50
E162	112	113	19	220	239
E163	112	144	38	328	366
E164	113	114	12	639	651
E165	113	128	18	619	637
E166	114	115	27	274	301
E167	115	130	19	505	524
E168	116	117	20	165	185
E169	116	131	24	311	335
E170	118	133	29	578	607
E171	118	134	19	203	222
E172	120	121	21	508	529
E173	121	122	37	162	199
E174	121	137	15	126	141
E175	123	139	15	25	40
E176	124	1	22	57	79
E177	125	126	20	146	166
E178	125	141	19	442	461
E179	126	142	16	142	158
E180	127	143	24	84	108
E181	128	129	17	50	67
E182	129	130	21	524	545
E183	129	146	15	309	324
E184	132	149	21	161	182
E185	133	134	25	380	405
E186	133	150	22	493	515
E187	134	135	17	342	359
E188	137	138	39	335	374
E189	137	153	21	350	371
E190	138	139	37	345	382
E191	138	168	37	403	440
E192	139	1	37	507	544
E193	139	169	40	140	180
E194	1	141	22	278	300
E195	1	154	22	556	578
E196	141	155	23	673	696
E197	142	143	40	39	79
E198	142	156	22	239	261
E199	143	144	17	391	408
E200	144	145	20	121	141
E201	145	146	17	334	351
E202	145	158	22	314	336
E203	145	159	26	395	421
E204	146	147	17	756	773
E205	147	148	21	138	159
E206	147	160	15	335	350
E207	149	162	23	115	138
E208	150	151	14	382	396
E209	150	163	19	437	456
E210	151	164	16	358	374
E211	152	153	31	288	319
E212	152	165	14	229	243
E213	154	155	24	428	452
E214	154	170	20	118	138
E215	155	156	18	61	79
E216	157	158	38	390	428
E217	157	173	15	342	357
E218	159	174	27	62	89
E219	159	176	29	280	309
E220	160	161	19	470	489
E221	160	176	21	309	330
E222	161	162	19	612	631
E223	161	177	22	430	452
E224	162	178	15	289	304
E225	163	179	16	250	266
E226	164	165	13	423	436
E227	164	180	24	161	185
E228	165	166	18	203	221
E229	166	167	19	458	477
E230	166	182	18	273	291
E231	167	168	43	265	308
E232	168	169	33	159	192
E233	169	199	34	283	317
E234	170	171	15	131	146
E235	170	200	32	566	598
E236	171	201	32	182	214
E237	173	184	22	131	153
E238	174	185	25	450	475
E239	175	176	23	569	592
E240	176	177	15	13	28
E241	177	178	23	659	682
E242	177	189	19	21	40
E243	178	190	21	541	562
E244	179	191	17	318	335
E245	180	191	23	180	203
E246	180	192	21	174	195
E247	181	182	15	342	357
E248	181	193	26	351	377
E249	182	194	23	306	329
E250	183	195	18	358	376
E251	184	185	14	84	98
E252	184	204	23	472	495
E253	187	188	18	373	391
E254	187	207	14	675	689
E255	188	189	19	488	507
E256	188	208	21	251	272
E257	190	210	22	136	158
E258	191	192	26	594	620
E259	191	211	20	503	523
E260	192	193	13	361	374
E261	192	212	20	374	394
E262	194	195	15	399	414
E263	195	214	22	446	468
E264	196	197	16	580	596
E265	196	215	16	329	345
E266	197	198	22	166	188
E267	197	216	19	186	205
E268	199	218	22	347	369
E269	200	201	14	384	398
E270	201	202	20	315	335
E271	201	220	23	462	485
E272	202	203	22	435	457
E273	202	222	28	139	167
E274	203	204	17	351	368
E275	203	222	17	695	712
E276	204	223	18	346	364
E277	205	206	19	319	338
E278	205	224	16	473	489
E279	206	207	21	459	480
E280	206	225	19	158	177
E281	207	208	19	345	364
E282	207	226	18	628	646
E283	208	209	17	307	324
E284	208	227	21	199	220
E285	209	210	21	398	419
E286	209	228	23	269	292
E287	211	230	24	506	530
E288	212	231	12	159	171
E289	213	214	38	388	426
E290	214	233	21	272	293
E291	215	216	23	366	389
E292	215	234	20	601	621
E293	216	217	17	263	280
E294	216	235	18	347	365
E295	217	218	22	162	184
E296	217	236	20	388	408
E297	218	219	38	315	353
E298	220	221	16	47	63
E299	222	241	21	547	568
E300	223	224	22	282	304
E301	223	242	18	305	323
E302	224	225	18	62	80
E303	224	243	22	342	364
E304	225	244	15	74	89
E305	226	227	17	222	239
E306	226	245	25	63	88
E307	227	228	20	298	318
E308	227	246	14	342	356
E309	229	248	21	455	476
E310	230	231	19	97	116
E311	230	249	20	246	266
E312	231	232	21	663	684
E313	231	250	19	162	181
E314	233	234	19	386	405
E315	233	252	14	699	713
E316	234	265	36	296	332
E317	235	236	16	41	57
E318	235	266	41	157	198
E319	236	237	22	568	590
E320	238	253	22	42	64
E321	239	240	22	136	158
E322	239	254	15	481	496
E323	240	241	17	599	616
E324	240	255	15	611	626
E325	241	256	21	280	301
E326	242	243	16	361	377
E327	244	245	14	670	684
E328	246	247	18	706	724
E329	246	260	23	60	83
E330	247	248	16	231	247
E331	248	277	35	478	513
E332	249	261	14	138	152
E333	250	251	15	618	633
E334	250	262	25	178	203
E335	251	252	39	447	486
E336	251	263	17	474	491
E337	252	264	20	343	363
E338	253	269	19	84	103
E339	254	255	18	309	327
E340	254	270	23	350	373
E341	255	256	21	459	480
E342	255	271	20	666	686
E343	256	257	20	391	411
E344	256	272	18	497	515
