Name:		Lpr-b-03.txt
Optimal value:	-1
#Vehicles:	7
Capacity:	10000
Depot Node:	1
#Nodes:		163
#Edges:		26
#Arcs:		335
#Required N:	0
#Required E:	26
#Required A:	279

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	3	4	19	307	326
E2	6	7	40	158	198
E3	6	18	18	145	163
E4	21	35	18	326	344
E5	44	45	18	373	391
E6	65	66	21	62	83
E7	70	1	15	238	253
E8	73	85	22	205	227
E9	79	80	39	204	243
E10	79	92	22	593	615
E11	82	83	15	69	84
E12	82	96	21	293	314
E13	108	109	14	64	78
E14	112	113	22	412	434
E15	114	130	18	153	171
E16	116	132	18	434	452
E17	117	134	21	271	292
E18	135	148	16	91	107
E19	139	155	21	51	72
E20	145	146	20	425	445
E21	148	149	15	350	365
E22	151	152	35	476	511
E23	154	155	17	15	32
E24	158	159	17	342	359
E25	159	160	17	377	394
E26	161	162	22	554	576

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A57	71	14	14	182	196
A58	2	3	22	154	176
A59	3	2	22	109	131
A60	3	24	36	314	350
A61	4	5	17	13	30
A62	5	4	17	93	110
A63	5	6	20	123	143
A64	5	17	15	242	257
A65	6	5	20	97	117
A66	7	8	33	363	396
A67	8	7	33	53	86
A68	8	9	42	103	145
A69	9	8	42	181	223
A70	9	10	39	333	372
A71	9	29	57	349	406
A72	9	30	37	194	231
A73	10	9	39	380	419
A74	10	11	33	53	86
A75	10	31	34	77	111
A76	10	32	52	374	426
A77	11	10	33	288	321
A78	11	12	19	27	46
A79	12	11	19	66	85
A80	12	13	21	271	292
A81	12	33	39	164	203
A82	13	12	21	260	281
A83	13	34	40	48	88
A84	14	71	14	106	120
A85	14	15	36	195	231
A86	14	21	26	272	298
A87	15	2	25	286	311
A88	15	23	16	100	116
A89	16	25	17	267	284
A90	17	16	21	216	237
A91	17	26	18	337	355
A92	18	17	14	71	85
A93	18	27	22	119	141
A94	19	18	42	181	223
A95	20	8	17	101	118
A96	20	29	18	147	165
A97	21	14	26	226	252
A98	21	22	17	282	299
A99	22	23	18	126	144
A100	23	24	23	123	146
A101	23	37	17	164	181
A102	24	23	23	94	117
A103	24	25	12	19	31
A104	26	25	22	130	152
A105	27	26	22	184	206
A106	27	28	38	86	124
A107	27	39	18	43	61
A108	28	19	15	101	116
A109	28	29	34	337	371
A110	29	9	57	93	150
A111	29	48	46	250	296
A112	30	9	37	279	316
A113	30	29	41	373	414
A114	30	49	44	371	415
A115	31	30	34	101	135
A116	32	31	38	322	360
A117	32	51	36	304	340
A118	33	32	22	262	284
A119	33	34	17	33	50
A120	34	13	40	213	253
A121	34	53	40	118	158
A122	35	40	20	287	307
A123	36	35	16	120	136
A124	37	36	21	68	89
A125	38	37	37	336	373
A126	38	39	35	257	292
A127	39	27	18	286	304
A128	40	35	20	22	42
A129	40	41	21	304	325
A130	40	54	17	380	397
A131	41	36	22	344	366
A132	41	40	21	150	171
A133	41	42	17	261	278
A134	42	37	22	346	368
A135	42	43	18	387	405
A136	43	44	21	283	304
A137	43	57	20	399	419
A138	44	38	13	64	77
A139	44	58	20	179	199
A140	46	39	21	389	410
A141	46	59	30	159	189
A142	46	60	21	195	216
A143	47	28	42	329	371
A144	47	46	36	116	152
A145	48	47	35	381	416
A146	49	48	36	167	203
A147	49	50	38	99	137
A148	50	31	37	282	319
A149	50	51	38	191	229
A150	50	61	23	197	220
A151	51	32	36	146	182
A152	51	52	22	391	413
A153	51	62	20	201	221
A154	52	33	43	232	275
A155	52	51	22	27	49
A156	53	34	40	384	424
A157	53	52	18	101	119
A158	53	78	38	230	268
A159	54	63	16	384	400
A160	55	41	20	17	37
A161	55	54	13	23	36
A162	56	42	19	118	137
A163	56	57	17	101	118
A164	56	65	13	351	364
A165	58	57	17	161	178
A166	59	45	16	77	93
A167	59	60	24	201	225
A168	59	67	24	398	422
A169	60	46	21	259	280
A170	60	69	21	96	117
A171	62	76	22	123	145
A172	63	54	16	141	157
A173	63	64	21	215	236
A174	64	55	20	233	253
A175	64	63	21	342	363
A176	64	65	20	325	345
A177	65	64	20	157	177
A178	67	59	24	397	421
A179	67	68	17	198	215
A180	67	79	20	108	128
A181	68	59	23	300	323
A182	70	47	36	82	118
A183	70	48	51	34	85
A184	1	72	18	344	362
A185	72	73	43	363	406
A186	73	49	40	74	114
A187	73	74	15	212	227
A188	74	75	20	219	239
A189	75	76	42	139	181
A190	75	86	16	203	219
A191	76	75	42	328	370
A192	76	77	15	198	213
A193	77	76	15	358	373
A194	77	78	17	275	292
A195	78	53	38	124	162
A196	80	93	17	233	250
A197	81	70	19	135	154
A198	82	1	23	123	146
A199	82	81	25	322	347
A200	83	72	17	45	62
A201	83	97	21	296	317
A202	84	83	44	40	84
A203	84	85	14	396	410
A204	85	74	21	368	389
A205	85	84	14	214	228
A206	85	100	28	285	313
A207	86	85	18	127	145
A208	86	100	18	28	46
A209	87	76	16	340	356
A210	87	102	20	54	74
A211	88	87	21	99	120
A212	89	78	14	323	337
A213	89	88	15	221	236
A214	90	105	18	323	341
A215	91	90	41	137	178
A216	92	91	36	89	125
A217	93	92	37	353	390
A218	93	94	18	145	163
A219	93	107	20	64	84
A220	94	95	22	90	112
A221	94	108	25	262	287
A222	95	81	20	396	416
A223	95	96	16	374	390
A224	95	109	18	247	265
A225	96	97	19	353	372
A226	96	110	15	314	329
A227	97	83	21	375	396
A228	97	111	15	48	63
A229	98	84	19	273	292
A230	99	100	22	335	357
A231	100	101	17	40	57
A232	100	114	24	108	132
A233	101	102	21	254	275
A234	101	115	21	399	420
A235	102	103	17	103	120
A236	102	115	30	131	161
A237	103	88	20	202	222
A238	104	89	24	66	90
A239	104	103	18	256	274
A240	104	117	16	364	380
