Name:		Lpr-c-05.txt
Optimal value:	-1
#Vehicles:	23
Capacity:	10000
Depot Node:	1
#Nodes:		369
#Edges:		387
#Arcs:		454
#Required N:	0
#Required E:	387
#Required A:	416

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	196	2	43	360	403
E2	196	21	25	290	315
E3	2	22	22	491	513
E4	3	42	43	197	240
E5	4	5	22	418	440
E6	5	6	16	469	485
E7	5	24	23	674	697
E8	6	7	39	59	98
E9	8	9	18	219	237
E10	8	27	20	28	48
E11	9	10	44	579	623
E12	9	27	31	411	442
E13	9	28	18	121	139
E14	10	11	14	135	149
E15	12	31	27	419	446
E16	12	32	17	494	511
E17	13	14	21	439	460
E18	14	34	15	293	308
E19	15	56	35	208	243
E20	16	17	20	136	156
E21	17	18	19	124	143
E22	17	36	21	134	155
E23	18	19	35	203	238
E24	20	39	23	150	173
E25	21	40	15	259	274
E26	22	41	19	379	398
E27	23	24	27	656	683
E28	24	25	16	102	118
E29	24	44	17	422	439
E30	27	28	22	238	260
E31	27	47	24	521	545
E32	29	49	20	607	627
E33	30	31	17	176	193
E34	30	51	21	585	606
E35	31	32	18	202	220
E36	32	33	21	316	337
E37	33	54	18	397	415
E38	35	36	16	75	91
E39	35	57	16	382	398
E40	36	37	19	386	405
E41	36	58	18	291	309
E42	37	38	38	511	549
E43	37	59	25	408	433
E44	40	41	33	456	489
E45	40	79	39	412	451
E46	41	42	25	169	194
E47	41	63	20	495	515
E48	42	64	16	331	347
E49	44	66	22	378	400
E50	45	46	21	68	89
E51	45	67	22	497	519
E52	46	47	16	647	663
E53	48	49	20	694	714
E54	49	50	19	443	462
E55	50	51	19	50	69
E56	50	90	33	397	430
E57	51	52	19	629	648
E58	52	72	17	357	374
E59	54	55	20	374	394
E60	54	74	19	532	551
E61	55	75	19	448	467
E62	56	57	19	757	776
E63	56	76	18	624	642
E64	57	58	12	493	505
E65	57	76	25	386	411
E66	57	77	17	468	485
E67	59	60	19	270	289
E68	61	62	35	262	297
E69	61	101	37	203	240
E70	63	81	15	448	463
E71	64	65	23	604	627
E72	64	82	22	352	374
E73	65	66	18	116	134
E74	65	83	15	171	186
E75	66	84	17	292	309
E76	68	87	26	494	520
E77	69	88	17	310	327
E78	71	91	23	281	304
E79	72	73	16	308	324
E80	72	92	21	100	121
E81	74	94	19	297	316
E82	76	77	18	122	140
E83	76	95	33	679	712
E84	79	118	41	85	126
E85	80	81	21	513	534
E86	80	119	39	684	723
E87	81	82	19	484	503
E88	81	104	19	287	306
E89	82	83	19	656	675
E90	82	105	16	303	319
E91	83	84	18	123	141
E92	83	106	22	430	452
E93	84	85	24	429	453
E94	84	107	22	569	591
E95	85	108	18	303	321
E96	86	87	19	559	578
E97	87	126	33	588	621
E98	90	91	18	454	472
