Name:		Lpr-a-05.txt
Optimal value:	-1
#Vehicles:	18
Capacity:	10000
Depot Node:	1
#Nodes:		321
#Edges:		58
#Arcs:		998
#Required N:	0
#Required E:	58
#Required A:	748

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	9	25	18	437	455
E2	11	12	37	196	233
E3	11	42	58	266	324
E4	15	16	37	580	617
E5	22	33	20	207	227
E6	26	37	22	367	389
E7	33	34	21	219	240
E8	35	53	19	152	171
E9	44	60	19	245	264
E10	45	46	40	89	129
E11	50	65	22	163	185
E12	58	59	26	95	121
E13	61	98	37	281	318
E14	79	94	23	570	593
E15	87	104	16	625	641
E16	90	109	18	220	238
E17	94	115	20	214	234
E18	97	118	21	727	748
E19	100	101	17	29	46
E20	102	103	16	57	73
E21	108	128	22	472	494
E22	115	116	39	171	210
E23	132	150	21	340	361
E24	138	139	15	143	158
E25	142	143	14	420	434
E26	144	145	33	176	209
E27	145	159	20	402	422
E28	147	161	21	635	656
E29	150	164	19	161	180
E30	158	159	39	336	375
E31	167	189	20	111	131
E32	175	176	19	67	86
E33	183	199	15	601	616
E34	189	190	26	197	223
E35	193	213	19	339	358
E36	200	220	14	299	313
E37	201	221	15	567	582
E38	211	212	20	56	76
E39	213	214	41	668	709
E40	219	220	19	116	135
E41	227	241	15	254	269
E42	230	231	22	469	491
E43	234	254	17	660	677
E44	239	240	19	424	443
E45	243	274	37	134	171
E46	244	275	34	217	251
E47	251	264	29	253	282
E48	257	269	22	47	69
E49	260	261	33	236	269
E50	264	285	26	501	527
E51	266	267	13	330	343
E52	274	275	41	491	532
E53	283	284	21	329	350
E54	285	286	22	378	400
E55	295	296	14	431	445
E56	296	312	13	314	327
E57	302	318	17	286	303
E58	309	310	40	196	236

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A251	1	2	47	238	285
A252	1	18	23	375	398
A253	2	1	47	60	107
A254	2	19	20	48	68
A255	3	4	21	262	283
A256	4	3	21	82	103
