Name:		Lpr-c-01.txt
Optimal value:	-1
#Vehicles:	2
Capacity:	10000
Depot Node:	1
#Nodes:		28
#Edges:		39
#Arcs:		13
#Required N:	0
#Required E:	39
#Required A:	11

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	33	579	612
E2	1	7	22	148	170
E3	2	3	18	129	147
E4	2	8	20	240	260
E5	3	4	20	340	360
E6	4	5	22	288	310
E7	5	6	22	46	68
E8	5	10	22	28	50
E9	6	11	20	475	495
E10	7	8	42	483	525
E11	7	12	18	585	603
E12	8	13	21	456	477
E13	9	10	20	629	649
E14	9	15	17	747	764
E15	10	11	18	291	309
E16	11	17	17	415	432
E17	12	13	40	426	466
E18	12	18	21	498	519
E19	13	19	18	300	318
E20	14	15	15	472	487
E21	14	20	19	534	553
E22	15	16	21	174	195
E23	15	21	17	269	286
E24	16	17	19	593	612
E25	17	22	26	146	172
E26	17	23	15	516	531
E27	18	24	22	410	432
E28	19	20	19	738	757
E29	19	25	17	53	70
E30	20	21	19	459	478
E31	20	25	26	83	109
E32	21	22	20	543	563
E33	21	27	16	330	346
E34	22	23	21	590	611
E35	22	27	24	446	470
E36	23	28	19	131	150
E37	24	25	40	316	356
E38	26	27	20	209	229
E39	27	28	37	476	513

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A3	9	4	22	153	175
A4	14	3	39	79	118
A5	15	20	28	399	427
A6	16	10	21	16	37
A7	18	19	36	238	274
A8	19	18	36	277	313
A9	20	15	28	76	104
A10	20	26	13	282	295
A11	25	26	18	33	51
A12	26	20	13	399	412
A13	26	25	18	119	137

ARC	FROM N.	TO N.	T. COST
NrA1	13	14	18
NrA2	14	13	18
