Name:		Lpr-b-01.txt
Optimal value:	-1
#Vehicles:	2
Capacity:	10000
Depot Node:	1
#Nodes:		28
#Edges:		5
#Arcs:		58
#Required N:	0
#Required E:	5
#Required A:	45

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	6	11	19	453	472
E2	18	24	22	478	500
E3	20	25	25	204	229
E4	21	27	17	707	724
E5	27	28	37	715	752

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A14	14	2	33	240	273
A15	2	14	33	265	298
A16	2	3	18	97	115
A17	3	2	18	264	282
A18	3	4	20	325	345
A19	4	3	20	183	203
A20	5	4	21	214	235
A21	5	6	22	207	229
A22	5	10	21	112	133
A23	6	5	22	47	69
A24	7	8	44	187	231
A25	7	12	18	101	119
A26	8	2	19	122	141
A27	8	13	23	153	176
A28	9	4	20	324	344
A29	10	5	21	285	306
A30	10	9	21	66	87
A31	11	10	18	14	32
A32	12	7	18	311	329
A33	12	18	20	381	401
A34	13	12	40	172	212
A35	1	3	41	205	246
A36	15	9	17	300	317
A37	15	1	15	301	316
A38	15	16	21	14	35
A39	16	10	21	88	109
A40	16	17	19	372	391
A41	17	11	17	379	396
A42	17	23	15	110	125
A43	18	12	20	390	410
A44	18	19	37	343	380
A45	19	25	17	238	255
A46	20	21	18	94	112
A47	21	22	19	308	327
A48	22	17	26	139	165
A49	22	23	21	349	370
A50	23	17	15	377	392
A51	23	28	18	53	71
A52	24	25	39	147	186
A53	25	24	39	334	373
A54	25	26	18	54	72
A55	26	27	21	368	389
A56	27	22	26	159	185
A57	27	26	21	247	268
A58	28	23	18	146	164

ARC	FROM N.	TO N.	T. COST
NrA1	14	7	22
NrA2	4	5	21
NrA3	7	14	22
NrA4	10	11	18
NrA5	11	17	17
NrA6	13	19	19
NrA7	1	13	18
NrA8	1	20	19
NrA9	19	20	19
NrA10	20	15	27
NrA11	20	26	14
NrA12	21	15	17
NrA13	26	25	18
