NAME : Cen-Part-IF-b-1.dat
NODES : 2443
REQ_EDGES : 1285
NOREQ_EDGES : 1505
REQ_ARCS : 94
NOREQ_ARCS : 231
VEHICLES : 146
CAPACITY : 10000
DUMPING_COST : 300
MAX_TRIP : 28800
LIST_REQ_EDGES : 
(6,4)  serv_cost 37  trav_cost 7  demand 38
(7,8)  serv_cost 59  trav_cost 9  demand 51
(9,10)  serv_cost 60  trav_cost 10  demand 55
(8,9)  serv_cost 119  trav_cost 19  demand 106
(11,12)  serv_cost 24  trav_cost 4  demand 23
(13,14)  serv_cost 37  trav_cost 7  demand 39
(15,16)  serv_cost 130  trav_cost 20  demand 111
(19,20)  serv_cost 131  trav_cost 21  demand 119
(21,22)  serv_cost 106  trav_cost 16  demand 92
(20,23)  serv_cost 83  trav_cost 13  demand 71
(26,27)  serv_cost 155  trav_cost 25  demand 137
(27,28)  serv_cost 83  trav_cost 13  demand 74
(29,26)  serv_cost 84  trav_cost 14  demand 79
(32,33)  serv_cost 107  trav_cost 17  demand 97
(38,39)  serv_cost 83  trav_cost 13  demand 71
(40,38)  serv_cost 36  trav_cost 6  demand 33
(41,42)  serv_cost 130  trav_cost 20  demand 113
(43,44)  serv_cost 48  trav_cost 8  demand 46
(45,46)  serv_cost 425  trav_cost 65  demand 364
(47,48)  serv_cost 106  trav_cost 16  demand 90
(49,50)  serv_cost 190  trav_cost 30  demand 169
(45,51)  serv_cost 95  trav_cost 15  demand 84
(52,53)  serv_cost 118  trav_cost 18  demand 102
(54,55)  serv_cost 130  trav_cost 20  demand 113
(56,57)  serv_cost 177  trav_cost 27  demand 150
(58,49)  serv_cost 213  trav_cost 33  demand 185
(59,60)  serv_cost 142  trav_cost 22  demand 120
(61,52)  serv_cost 107  trav_cost 17  demand 96
(63,41)  serv_cost 449  trav_cost 69  demand 381
(66,49)  serv_cost 438  trav_cost 68  demand 378
(67,68)  serv_cost 402  trav_cost 62  demand 347
(71,72)  serv_cost 107  trav_cost 17  demand 97
(73,74)  serv_cost 143  trav_cost 23  demand 127
(75,71)  serv_cost 307  trav_cost 47  demand 262
(76,77)  serv_cost 84  trav_cost 14  demand 78
(78,79)  serv_cost 119  trav_cost 19  demand 105
(80,73)  serv_cost 154  trav_cost 24  demand 134
(81,82)  serv_cost 142  trav_cost 22  demand 122
(83,78)  serv_cost 426  trav_cost 66  demand 366
(84,85)  serv_cost 119  trav_cost 19  demand 108
(86,79)  serv_cost 119  trav_cost 19  demand 103
(87,88)  serv_cost 107  trav_cost 17  demand 93
(89,90)  serv_cost 35  trav_cost 5  demand 30
(90,91)  serv_cost 71  trav_cost 11  demand 63
(92,93)  serv_cost 94  trav_cost 14  demand 80
(94,95)  serv_cost 130  trav_cost 20  demand 113
(96,97)  serv_cost 107  trav_cost 17  demand 93
(98,99)  serv_cost 142  trav_cost 22  demand 122
(100,101)  serv_cost 378  trav_cost 58  demand 324
(102,103)  serv_cost 225  trav_cost 35  demand 192
(104,92)  serv_cost 248  trav_cost 38  demand 211
(105,106)  serv_cost 84  trav_cost 14  demand 77
(107,108)  serv_cost 177  trav_cost 27  demand 152
(88,109)  serv_cost 367  trav_cost 57  demand 314
(108,110)  serv_cost 154  trav_cost 24  demand 131
(108,111)  serv_cost 60  trav_cost 10  demand 55
(112,113)  serv_cost 60  trav_cost 10  demand 58
(114,105)  serv_cost 177  trav_cost 27  demand 151
(117,118)  serv_cost 118  trav_cost 18  demand 102
(119,120)  serv_cost 154  trav_cost 24  demand 136
(121,122)  serv_cost 391  trav_cost 61  demand 339
(125,126)  serv_cost 166  trav_cost 26  demand 142
(127,128)  serv_cost 106  trav_cost 16  demand 91
(129,130)  serv_cost 119  trav_cost 19  demand 108
(131,132)  serv_cost 367  trav_cost 57  demand 317
(133,134)  serv_cost 83  trav_cost 13  demand 74
(135,136)  serv_cost 201  trav_cost 31  demand 175
(137,138)  serv_cost 83  trav_cost 13  demand 73
(145,146)  serv_cost 1640  trav_cost 250  demand 1392
(147,148)  serv_cost 106  trav_cost 16  demand 91
(149,150)  serv_cost 143  trav_cost 23  demand 127
(151,152)  serv_cost 120  trav_cost 20  demand 109
(153,148)  serv_cost 107  trav_cost 17  demand 96
(5,154)  serv_cost 36  trav_cost 6  demand 33
(155,156)  serv_cost 142  trav_cost 22  demand 121
(155,157)  serv_cost 166  trav_cost 26  demand 144
(158,159)  serv_cost 84  trav_cost 14  demand 79
(159,160)  serv_cost 12  trav_cost 2  demand 11
(161,162)  serv_cost 119  trav_cost 19  demand 107
(163,164)  serv_cost 107  trav_cost 17  demand 94
(165,161)  serv_cost 60  trav_cost 10  demand 56
(166,167)  serv_cost 71  trav_cost 11  demand 64
(168,169)  serv_cost 107  trav_cost 17  demand 93
(170,171)  serv_cost 202  trav_cost 32  demand 175
(172,173)  serv_cost 379  trav_cost 59  demand 327
(174,7)  serv_cost 60  trav_cost 10  demand 54
(175,176)  serv_cost 95  trav_cost 15  demand 84
(177,178)  serv_cost 84  trav_cost 14  demand 77
