NAME : Cen-c.dat
NODES : 2253
REQ_EDGES : 2252
NOREQ_EDGES : 137
REQ_ARCS : 267
NOREQ_ARCS : 349
VEHICLES : 146
CAPACITY : 10000
DUMPING_COST : 300
MAX_TRIP : 28800
LIST_REQ_EDGES : 
(4,5)  serv_cost 332  trav_cost 52  demand 289
(6,4)  serv_cost 106  trav_cost 16  demand 90
(7,6)  serv_cost 1  trav_cost 1  demand 6
(8,9)  serv_cost 72  trav_cost 12  demand 66
(10,7)  serv_cost 107  trav_cost 17  demand 95
(11,12)  serv_cost 107  trav_cost 17  demand 94
(13,14)  serv_cost 84  trav_cost 14  demand 77
(17,18)  serv_cost 47  trav_cost 7  demand 40
(19,20)  serv_cost 60  trav_cost 10  demand 55
(21,22)  serv_cost 83  trav_cost 13  demand 74
(25,19)  serv_cost 107  trav_cost 17  demand 96
(26,27)  serv_cost 190  trav_cost 30  demand 166
(29,30)  serv_cost 84  trav_cost 14  demand 76
(31,32)  serv_cost 260  trav_cost 40  demand 222
(31,33)  serv_cost 95  trav_cost 15  demand 83
(36,37)  serv_cost 167  trav_cost 27  demand 149
(21,38)  serv_cost 225  trav_cost 35  demand 192
(38,43)  serv_cost 95  trav_cost 15  demand 83
(45,46)  serv_cost 36  trav_cost 6  demand 35
(53,54)  serv_cost 107  trav_cost 17  demand 95
(46,57)  serv_cost 236  trav_cost 36  demand 200
(61,62)  serv_cost 107  trav_cost 17  demand 97
(63,64)  serv_cost 214  trav_cost 34  demand 186
(65,66)  serv_cost 131  trav_cost 21  demand 119
(67,68)  serv_cost 106  trav_cost 16  demand 92
(69,70)  serv_cost 72  trav_cost 12  demand 64
(71,72)  serv_cost 48  trav_cost 8  demand 46
(73,71)  serv_cost 84  trav_cost 14  demand 75
(76,77)  serv_cost 236  trav_cost 36  demand 202
(78,68)  serv_cost 167  trav_cost 27  demand 148
(79,80)  serv_cost 24  trav_cost 4  demand 23
(71,85)  serv_cost 248  trav_cost 38  demand 213
(86,87)  serv_cost 108  trav_cost 18  demand 98
(88,89)  serv_cost 472  trav_cost 72  demand 402
(92,93)  serv_cost 226  trav_cost 36  demand 199
(94,95)  serv_cost 143  trav_cost 23  demand 129
(96,94)  serv_cost 119  trav_cost 19  demand 105
(97,98)  serv_cost 107  trav_cost 17  demand 95
(99,100)  serv_cost 94  trav_cost 14  demand 80
(103,104)  serv_cost 497  trav_cost 77  demand 427
(107,108)  serv_cost 36  trav_cost 6  demand 33
(109,110)  serv_cost 803  trav_cost 123  demand 683
(111,112)  serv_cost 119  trav_cost 19  demand 105
(109,113)  serv_cost 130  trav_cost 20  demand 113
(114,115)  serv_cost 425  trav_cost 65  demand 361
(116,117)  serv_cost 839  trav_cost 129  demand 716
(118,119)  serv_cost 248  trav_cost 38  demand 211
(120,121)  serv_cost 273  trav_cost 43  demand 238
(122,123)  serv_cost 13  trav_cost 3  demand 18
(121,124)  serv_cost 24  trav_cost 4  demand 25
(126,120)  serv_cost 319  trav_cost 49  demand 271
(128,129)  serv_cost 83  trav_cost 13  demand 70
(132,133)  serv_cost 119  trav_cost 19  demand 105
(136,137)  serv_cost 47  trav_cost 7  demand 40
(145,146)  serv_cost 108  trav_cost 18  demand 98
(136,150)  serv_cost 413  trav_cost 63  demand 350
(151,152)  serv_cost 460  trav_cost 70  demand 390
(157,158)  serv_cost 12  trav_cost 2  demand 11
(159,160)  serv_cost 84  trav_cost 14  demand 78
(159,161)  serv_cost 84  trav_cost 14  demand 79
(163,164)  serv_cost 472  trav_cost 72  demand 401
(165,166)  serv_cost 132  trav_cost 22  demand 119
(167,168)  serv_cost 95  trav_cost 15  demand 83
(174,175)  serv_cost 119  trav_cost 19  demand 104
(179,180)  serv_cost 12  trav_cost 2  demand 13
(181,182)  serv_cost 578  trav_cost 88  demand 491
